sid	school_name	display_name	nickname	alias	almanac_name	stubhub_name	cid	division_cid	location	head_coach	off_coord	def_coord	primary_color	alt_color	sec_color	rss_query	domain	domain_title	ncaawiki_url	official_url	active_state	show_poster	school_id	ncaa_catid	checked_out	checked_out_time	published
155	Georgia Southern	Georgia Southern	Eagles	georgiasouthern	Georgia Southern	Georgia Southern	35	0	Statesboro, GA				1C3664	FFFFFF	999965						0	0	0	70	0	0000-00-00 00:00:00	1
156	Grambling State	Grambling State	Tigers	gramblingstate	Grambling St.	Grambling State	37	43	Grambling, LA				000000	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
157	Hampton	Hampton	Pirates	hampton	Hampton	Hampton	31	0	Hampton, VA				1560BD	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
158	Harvard	Harvard	Crimson	harvard	Harvard	Harvard	29	0	Cambridge, MA				DC143C	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
159	Hofstra	Hofstra	Pride	hofstra	Hofstra	Hofstra	45	38	Hempstead, NY				1034A6	FFFFFF	D4AF37						0	0	0	70	0	0000-00-00 00:00:00	1
161	Howard	Howard	Bison	howard	Howard	Howard	31	0	Washington, DC				191970	FF0000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
162	Idaho State	Idaho State	Bengals	idahostate	Idaho State	Idaho State	24	0	Pocatello, ID				000000	FFA500							0	0	0	70	0	0000-00-00 00:00:00	1
163	Illinois State	Illinois State	Redbirds	illinoisstate	Illinois State	Illinois State	66	0	Normal, IL				E32636	FFFFFF	000000						0	0	0	70	0	0000-00-00 00:00:00	1
164	Indiana State	Indiana State	Sycamores	indianastate	Indiana State	Indiana State	66	0	Terre Haute, IN				4169E1	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
165	Iona	Iona	Gaels	iona	Iona	Iona	30	0	New Rochelle, NY				800000	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
166	Jackson State	Jackson State	Tigers	jacksonstate	Jackson State	Jackson State	37	42	Jackson, MS				0047AB	FFFFFF	F28500						0	0	0	70	0	0000-00-00 00:00:00	1
167	Jacksonville	Jacksonville	Dolphins	jacksonville	Jacksonville	Jacksonville	63	41	Jacksonville, FL				004123	FFFFFF	808080						0	0	0	70	0	0000-00-00 00:00:00	1
168	Jacksonville State	Jacksonville State	Gamecocks	jacksonvillestate	Jacksonville State	Jacksonville State	33	0	Jacksonville, MS				DC143C	000000							0	0	0	70	0	0000-00-00 00:00:00	1
169	James Madison	James Madison	Dukes	jamesmadison	James Madison	James Madison	45	39	Harrisonburg, VA				450084	C2A14D							0	0	0	70	0	0000-00-00 00:00:00	1
170	La Salle	La Salle	Explorers	lasalle	La Salle	La Salle	62	0	Philadelphia, PA				120A8F	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
173	Liberty	Liberty	Flames	liberty	Liberty	Liberty	25	0	Lynchburg, VA				0A254E	AF0000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
174	Maine	Maine	Black Bears	maine	Maine	Maine	69	38	Orono, ME				00008B	87CEFA							0	0	0	70	0	0000-00-00 00:00:00	1
175	Marist	Marist	Red Foxes	marist	Marist	Marist	34	0	Poughkeepsie, NY				FF0000	FFFFFF	000000						0	0	0	70	0	0000-00-00 00:00:00	1
176	Massachusetts	UMass	Minutemen	massachusetts	Massachusetts	Massachusetts	62	38	Amherst, MA				B22222	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
177	McNeese State	McNeese State	Cowboys	mcneesestate	McNeese State	McNeese State	36	0	Lake Charles, LA				0000CD	FFFF00							0	0	0	70	0	0000-00-00 00:00:00	1
178	Mississippi Valley State	Mississippi Valley State	Delta Devils	mississippivalleystate	Mississippi Valley State	Mississippi Valley State	37	42	Itta Bena, MS				138808	E34234							0	0	0	70	0	0000-00-00 00:00:00	1
179	Missouri State	Missouri State	Bears	missouristate	Missouri State	Missouri State	26	0	Springfield, MO				800000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
180	Monmouth	Monmouth	Hawks	monmouth	Monmouth	Monmouth	32	0	West Long Branch, NJ				003153	D3D3D3							0	0	0	70	0	0000-00-00 00:00:00	1
181	Montana	Montana	Grizzlies	montana	Montana	Montana	24	0	Missoula, MT				660033	999999							0	0	0	70	0	0000-00-00 00:00:00	1
182	Montana State	Montana State	Bobcats	montanastate	Montana State	Montana State	24	0	Bozeman, MT				333399	D4AF37							0	0	0	70	0	0000-00-00 00:00:00	1
183	Morehead State	Morehead State	Eagles	moreheadstate	Morehead State	Morehead State	33	41	Morehead, KY				000099	FFCF00							0	0	0	70	0	0000-00-00 00:00:00	1
184	Morgan State	Morgan State	Bears	morganstate	Morgan State	Morgan State	31	0	Baltimore MD				F28500	002FA7							0	0	0	70	0	0000-00-00 00:00:00	1
185	Murray State	Murray State	Racers	murraystate	Murray State	Murray State	33	0	Murray, KY				FFCC00	000033							0	0	0	70	0	0000-00-00 00:00:00	1
186	New Hampshire	New Hampshire	Wildcats	newhampshire	New Hampshire	New Hampshire	69	38	Durham, NH				27408B	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
187	Nicholls State	Nicholls State	Colonels	nichollsstate	Nicholls State	Nicholls State	36	0	Thibodaux, LA				DC143C	D3D3D3							0	0	0	70	0	0000-00-00 00:00:00	1
188	Norfolk State	Norfolk State	Spartans	norfolkstate	Norfolk State	Norfolk State	31	0	Norfolk, VA				29AB87	FFDF00							0	0	0	70	0	0000-00-00 00:00:00	1
189	North Carolina A&T	North Carolina A&T	Aggies	northcarolinaat	North Carolina A&T	North Carolina A&T	31	0	Greensboro, NC				00008B	FFCC33							0	0	0	70	0	0000-00-00 00:00:00	1
190	North Dakota State	North Dakota State	Bison	northdakotastate	North Dakota St.	North Dakota State	65	0	Fargo, ND				ffcc00	006633							0	0	0	70	0	0000-00-00 00:00:00	1
191	Northeastern	Northeastern	Huskies	northeastern	Northeastern	Northeastern	45	38	Boston, MA				000000	FF0000							0	0	0	70	0	0000-00-00 00:00:00	1
192	Northern Arizona	Northern Arizona	Lumberjacks	northernarizona	Northern Arizona	Northern Arizona	24	0	Flagstaff, AZ				000080	FFDF00	507D2A						0	0	0	70	0	0000-00-00 00:00:00	1
193	Northern Colorado	Northern Colorado	Bears	northerncolorado	Northern Colorado	Northern Colorado	24	0	Greenly,CO				483D8B	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
194	Northern Iowa	Northern Iowa	Panthers	northerniowa	Northern Iowa	Northern Iowa	66	0	Cedar Falls, IA				6B3FA0	FFD700							0	0	0	70	0	0000-00-00 00:00:00	1
195	Northwestern State	Northwestern State	Demons	northwesternstate	Northwestern State	Northwestern State	36	0	Natchitoches, LA				800080	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
196	Pennsylvania	Penn	Quakers	pennsylvania	Pennsylvania	Pennsylvania	29	0	Philadelphia, PA				00008B	DC143C	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
197	Portland State	Portland State	Vikings	portlandstate	Portland State	Portland State	24	0	Portland, OR				2E6444	D4D4D4							0	0	0	70	0	0000-00-00 00:00:00	1
198	Prairie View A&M	Prairie View A&M	Panthers	prairieviewam	Prairie View A&M	Prairie View A&M	37	43	Prairie View, TX				820BBB	000000							0	0	0	70	0	0000-00-00 00:00:00	1
199	Princeton	Princeton	Tigers	princeton	Princeton	Princeton	29	0	Princeton, NJ				000000	FFA500							0	0	0	70	0	0000-00-00 00:00:00	1
200	Rhode Island	Rhode Island	Rams	rhodeisland	Rhode Island	Rhode Island	62	38	Kingston, RI				000066	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
201	Richmond	Richmond	Spiders	richmond	Richmond	Richmond	62	39	Richmond, VA				000066	990000							0	0	0	70	0	0000-00-00 00:00:00	1
202	Robert Morris	Robert Morris	Colonials	robertmorris	Robert Morris	Robert Morris	32	0	Moon Township, PA				191970	CD0000	ffffff						0	0	0	70	0	0000-00-00 00:00:00	1
203	Sacramento State	Sacramento State	Hornets	sacramentostate	Sacramento State	Sacramento State	24	0	Sacramento, CA				4B5320	CFB53B							0	0	0	70	0	0000-00-00 00:00:00	1
204	Sacred Heart	Sacred Heart	Pioneers	sacredheart	Sacred Heart	Sacred Heart	32	0	Fairfield, CT				DC143C	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
205	Sam Houston State	Sam Houston State	Bearkats	samhoustonstate	Sam Houston State	Sam Houston State	36	0	Huntsville, TX				FF8C00	FFFFFF	00008B						0	0	0	70	0	0000-00-00 00:00:00	1
206	Samford	Samford	Bulldogs	samford	Samford	Samford	35	0	Birmingham, AL				003366	990000							0	0	0	70	0	0000-00-00 00:00:00	1
207	San Diego	San Diego	Toreros	sandiego	San Diego	San Diego	34	40	San Diego, CA				0EBFE9	FFFFFF	0099CC						0	0	0	70	0	0000-00-00 00:00:00	1
208	Savannah State	Savannah State	Tigers	savannahstate	Savannah State	Savannah State	76	0	Savannah, GA				3A66A7	CC5500							0	0	0	70	0	0000-00-00 00:00:00	1
209	SE Missouri State	SE Missouri State	Redhawks	southeastmissouristate	SE Missouri State	SE Missouri State	33	0	Cape Girardeau, MO				CC0000	000000							0	0	0	70	0	0000-00-00 00:00:00	1
210	South Carolina State	South Carolina State	Bulldogs	southcarolinastate	South Carolina State	South Carolina State	31	0	Orangeburg, SC				800000	3579DC							0	0	0	70	0	0000-00-00 00:00:00	1
211	South Dakota State	South Dakota State	Jack Rabbits	southdakotastate	South Dakota State	South Dakota State	65	0	Brookings, SD				FFDF00	0000CD							0	0	0	70	0	0000-00-00 00:00:00	1
212	Southeastern Louisiana	SE Louisiana	Lions	southeasternlouisiana	Southeastern Louisiana	Southeastern Louisiana	36	0	Hammond, LA				CC9900	006633							0	0	0	70	0	0000-00-00 00:00:00	1
213	Southern	Southern	Jaguars	southern	Southern	Southern	37	43	Baton Rouge, LA				00008B	FFCC33							0	0	0	70	0	0000-00-00 00:00:00	1
214	Southern Illinois	Southern Illinois	Salukies	southernillinois	Southern Illinois	Southern Illinois	66	0	Carbondale, IL				888888	660000							0	0	0	70	0	0000-00-00 00:00:00	1
215	Southern Utah	Southern Utah	Thunderbirds	southernutah	Southern Utah	Southern Utah	65	0	Cedar City, UT				C41E3A	000000							0	0	0	70	0	0000-00-00 00:00:00	1
216	Saint Francis (PA)	Saint Francis (PA)	Red Flash	saintfrancispa	Saint Francis (PA)	Saint Francis (PA)	32	0	Loretto, PA				B22222	8C8C8C							0	0	0	70	0	0000-00-00 00:00:00	1
218	Stephen F. Austin	Stephen F. Austin	Lumberjacks	stephenfaustin	Stephen F. Austin	Stephen F. Austin	36	0	Nacogdoches, TX				551A8B	FF0000	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
219	Stony Brook	Stony Brook	Seawolves	stonybrook	Stony Brook	Stony Brook	69	0	Stony Brook, NY				990000	A9A9A9	003399						0	0	0	70	0	0000-00-00 00:00:00	1
220	Tennessee State	Tennessee State	Tigers	tennesseestate	Tennessee State	Tennessee State	33	0	Nashville, TN				002366	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
221	Tennessee Tech	Tennessee Tech	Golden Eagles	tennesseetech	Tennessee Tech	Tennessee Tech	33	0	Cookeville, TN				660099	FFCC00							0	0	0	70	0	0000-00-00 00:00:00	1
222	Tennessee-Martin	UT-Martin	Skyhawks	tennesseemartin	Tennessee Martin	Tennessee-Martin	33	0	Martin, TN				00008B	FF7F00							0	0	0	70	0	0000-00-00 00:00:00	1
223	Texas Southern	Texas Southern	Tigers	texassouthern	Texas Southern	Texas Southern	37	43	Houston, TX				A9A9A9	800000							0	0	0	70	0	0000-00-00 00:00:00	1
224	Texas State	Texas State	Bobcats	texasstate	Texas State	Texas State	36	0	San Marcos, TX				800000	CFB53B							0	0	0	70	0	0000-00-00 00:00:00	1
225	The Citadel	The Citadel	Bulldogs	thecitadel	The Citadel	The Citadel	35	0	Charleston, SC				000000	7AC5CD	EEDC82						0	0	0	70	0	0000-00-00 00:00:00	1
226	Towson	Towson	Tigers	towson	Towson	Towson	45	39	Towson, MD				000000	FFD800							0	0	0	70	0	0000-00-00 00:00:00	1
227	UC Davis	UC Davis	Aggies	ucdavis	California-Davis	UC Davis	68	0	Davis, CA				002666	BF9900	CCCCCC						0	0	0	70	0	0000-00-00 00:00:00	1
228	Valparaiso	Valparaiso	Crusaders	valparaiso	Valparaiso	Valparaiso	67	40	Valparaiso, IN				663300	FFCC33							0	0	0	70	0	0000-00-00 00:00:00	1
229	Villanova	Villanova	Wildcats	villanova	Villanova	Villanova	2	39	Philadelphia, PA				23238E	C6E2FF	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
230	VMI	VMI	Keydets	vmi	VMI	VMI	25	0	Lexington, VA				8B0000	FFD700	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
231	Wagner	Wagner	Seahawks	wagner	Wagner	Wagner	32	0	Staten Island, NY				1B6453	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
232	Weber State	Weber State	Wildcats	weberstate	Weber State	Weber State	24	0	Ogden, UT				6B3FA0	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
233	Western Carolina	Western Carolina	Catamounts	westerncarolina	Western Carolina	Western Carolina	35	0	Cullowhee, NC				7D26CD	CBA135	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
234	Western Illinois	Western Illinois	Leathernecks	westernillinois	Western Illinois	Western Illinois	65	0	Macomb, IL				551A8B	EEEE00							0	0	0	70	0	0000-00-00 00:00:00	1
235	Western Kentucky	Western Kentucky	Hilltoppers	westernkentucky	Western Kentucky	Western Kentucky	10	0	Bowling Green, KY				CD0000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
236	William & Mary	William & Mary	Tribe	williamandmary	William & Mary	William & Mary	45	39	Williamsburg, VA				3A6629	CDAD00							0	0	0	70	0	0000-00-00 00:00:00	1
237	Wofford	Wofford	Terriers	wofford	Wofford	Wofford	35	0	Spartanburg, SC				FFD700	000000							0	0	0	70	0	0000-00-00 00:00:00	1
238	Yale	Yale	Bulldogs	yale	Yale	Yale	29	0	New Haven, CT				0F4D92	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
239	Youngstown State	Youngstown State	Penguins	youngstownstate	Youngstown State	Youngstown State	67	0	Youngstown, OH				CC0033	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
240	Central Arkansas	Central Arkansas	Bears	centralarkansas	Central Arkansas	Central Arkansas	36	0	Conway, AR				6B3FA0	D3D3D3							0	0	0	70	0	0000-00-00 00:00:00	1
241	South Alabama	South Alabama	Jaguars	southalabama	South Alabama	South Alabama	10	0	Mobile, AL				FF0000	3232CD	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
242	Georgia State	Georgia State	Panthers	georgiastate	Georgia State	Georgia State	45	0	Atlanta, GA				003399	CC0000	666666						0	0	0	70	0	0000-00-00 00:00:00	1
245	Chowan	Chowan	Hawks	chowan	Chowan	Chowan	51	0	Murfreesboro, NC												0	0	0	51	0	0000-00-00 00:00:00	1
246	Presbyterian	Presbyterian	Blue Hose	presbyterian	Presbyterian	Presbyterian	25	0	Clinton, SC				4372AA	CC1100							0	0	0	70	0	0000-00-00 00:00:00	1
247	North Carolina Central	NC Central	Eagles	northcarolinacentral	North Carolina Central	North Carolina Central	76	0	Durham, NC				800000	D3D3D3							0	0	0	70	0	0000-00-00 00:00:00	1
249	Fayetteville State	Fayetteville State	Broncos	fayettevillestate	Fayetteville St.	Fayetteville State	47	0	Fayetteville, NC												0	0	0	51	0	0000-00-00 00:00:00	1
250	Old Dominion	Old Dominion	Monarchs	olddominion	Old Dominion	Old Dominion	45	0	Norfolk, VA				22316C	9C9C9C							0	0	0	70	0	0000-00-00 00:00:00	1
252	North Dakota	North Dakota	Fighting Sioux	northdakota	North Dakota	North Dakota	27	0	Grand Forks, ND				00A693	ffffff	c4c6c8						0	0	0	70	0	0000-00-00 00:00:00	1
253	South Dakota	South Dakota	Coyotes	southdakota	South Dakota	South Dakota	27	0	Vermillion, SD				E34234	000000							0	0	0	70	0	0000-00-00 00:00:00	1
254	Fordham	Fordham	Rams	fordham	Fordham	Fordham	62	0	Bronx, NY				800000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
255	Holy Cross	Holy Cross	Crusaders	holycross	Holy Cross	Holy Cross	44	0	Worcester, MA				702963	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
256	Lafayette	Lafayette	Leopards	lafayette	Lafayette	Lafayette	44	0	Easton, PA				8B0000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
257	Lehigh	Lehigh	Mountain Hawks	lehigh	Lehigh	Lehigh	44	0	Bethlehem, PA				C5B358	321414	FFFFFF						0	0	0	70	0	0000-00-00 00:00:00	1
258	Bucknell	Bucknell	Bison	bucknell	Bucknell	Bucknell	44	0	Lewisburg, PA				FF8000	00009C							0	0	0	70	0	0000-00-00 00:00:00	1
259	Bryant	Bryant	Bulldogs	bryant	Bryant	Bryant	32	0	Smithfield, RI				000000	CDC673							0	0	0	70	0	0000-00-00 00:00:00	1
260	Texas A&M-Kingsville	Texas A&M-Kingsville	Javelinas	texasamkingsville	Texas A&M-Kingsville	Texas A&M-Kingsville	52	0	Kingsville, TX												0	0	0	51	0	0000-00-00 00:00:00	1
261	St. Cloud State	St. Cloud State	Huskies	stcloudstate	St. Cloud State	St. Cloud State	55	0	St. Cloud, MN				C41E3A	000000							0	0	0	51	0	0000-00-00 00:00:00	1
262	Wisconsin-La Crosse	UW-La Crosse	Eagles	wisconsin-lacrosse	Wisconsin-La Crosse	Wisconsin-La Crosse	109	0	La Crosse, WI												0	0	0	62	0	0000-00-00 00:00:00	1
263	Western Washington	Western Washington	Vikings	westernwashington	Western Washington	Western Washington	49	0	Bellingham, WA												0	0	0	51	0	0000-00-00 00:00:00	1
265	Culver-Stockton	Culver-Stockton	Wildcats	culver-stockton	Culver-Stockton	Culver-Stockton	51	0	Canton, MO												0	0	0	61	0	0000-00-00 00:00:00	1
266	Missouri S&T	Missouri S&T	Miners	missourist	Missouri-Rolla	Missouri S&T	87	0	Rolla, MO												0	0	0	51	0	0000-00-00 00:00:00	1
267	Southern Oregon	Southern Oregon	Raiders	southernoregon	Southern Oregon	Southern Oregon	51	0	Ashland, OR												0	0	0	61	0	0000-00-00 00:00:00	1
268	Adams State	Adams State	Grizzlies	adamsstate	Adams State	Adams State	57	0	Alamosa, CO												0	0	0	51	0	0000-00-00 00:00:00	1
269	Lamar	Lamar	Cardinals	lamar	Lamar	Lamar	36	0	Beaumont, TX				FF0000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
270	Winston-Salem State	Winston-Salem State	Rams	winstonsalemstate	Winston-Salem St.	Winston-Salem State	31	0	Winston-Salem, NC				000000	FF0000							0	0	0	70	0	0000-00-00 00:00:00	1
271	Campbell	Campbell	Camels	campbell	Campbell	Campbell	63	0	Buies Creek, NC				000000	FF7F00							0	0	0	70	0	0000-00-00 00:00:00	1
276	Livingstone	Livingstone	Blue Bears	livingstone	Livingstone	Livingstone	47	0	Salisbury, NC												0	0	0	51	0	0000-00-00 00:00:00	1
277	Clark Atlanta	Clark Atlanta	Panthers	clarkatlanta	Clark Atlanta	Clark Atlanta	59	0	Atlanta, GA												0	0	0	51	0	0000-00-00 00:00:00	1
278	Concordia-Selma	Concordia-Selma	Hornets	concordia-selma	Concordia-Selma	Concordia-Selma	51	0	Selma, AL												0	0	0	61	0	0000-00-00 00:00:00	1
279	Edward Waters	Edward Waters	Tigers	edwardwaters	Edward Waters	Edward Waters	51	0	Jacksonville, FL												0	0	0	61	0	0000-00-00 00:00:00	1
280	Webber International	Webber International	Warriors	webberinternational	Webber International	Webber International	51	0	Babson Park, FL												0	0	0	61	0	0000-00-00 00:00:00	1
281	Virginia State	Virginia State	Trojans	virginiastate	Virginia State	Virginia State	47	0	Petersburg, VA												0	0	0	51	0	0000-00-00 00:00:00	1
282	Johnson C. Smith	Johnson C. Smith	Golden Bulls	johnsoncsmith	Johnson C. Smith	Johnson C. Smith	47	0	Charlotte, NC												0	0	0	51	0	0000-00-00 00:00:00	1
283	Central State	Central State	Marauders	centralstate	Central State	Central State	51	0	Wilberforce, OH												0	0	0	51	0	0000-00-00 00:00:00	1
284	Benedict	Benedict	Tigers	benedict	Benedict	Benedict	59	0	Columbia, SC												0	0	0	51	0	0000-00-00 00:00:00	1
285	Washburn	Washburn	Blues	washburn	Washburn	Washburn	53	0	Topeka, KS												0	0	0	51	0	0000-00-00 00:00:00	1
286	Quincy	Quincy	Hawks	quincy	Quincy	Quincy	87	0	Quincy, IL												0	0	0	51	0	0000-00-00 00:00:00	1
289	Assumption	Assumption	Greyhounds	assumption	Assumption	Assumption	54	0	Worcester, MA												0	0	0	51	0	0000-00-00 00:00:00	1
292	Lambuth	Lambuth	Eagles	lambuth	Lambuth	Lambuth	51	0	Jackson, TN												0	0	0	61	0	0000-00-00 00:00:00	1
293	Southwest Baptist	Southwest Baptist	Bearcats	southwestbaptist	Southwest Baptist	Southwest Baptist	53	0	Bolivar, MO												0	0	0	51	0	0000-00-00 00:00:00	1
294	Central Methodist	Central Methodist	Eagles	centralmethodist	Central Methodist	Central Methodist	51	0	Fayette, MO												0	0	0	61	0	0000-00-00 00:00:00	1
295	Baker	Baker	Wildcats	baker	Baker	Baker	51	0	Baldwin, KS												0	0	0	61	0	0000-00-00 00:00:00	1
296	Birmingham-Southern	Birmingham-Southern	Panthers	birmingham-southern	Birmingham-Southern	Birmingham-Southern	86	0	Birmingham, AL												0	0	0	62	0	0000-00-00 00:00:00	1
297	Methodist	Methodist	Monarchs	methodist	Methodist	Methodist	51	0	 Fayetteville, NC												0	0	0	62	0	0000-00-00 00:00:00	1
298	Carthage	Carthage	Redmen	carthage	Carthage	Carthage	51	0	Kenosha, WI												0	0	0	62	0	0000-00-00 00:00:00	1
300	UNC-Pembroke	UNC-Pembroke	Braves	uncpembroke	North Carolina-Pembroke	UNC-Pembroke	90	0	Pembroke, NC												0	0	0	51	0	0000-00-00 00:00:00	1
302	Upper Iowa	Upper Iowa	Peacocks	upperiowa	Upper Iowa	Upper Iowa	55	0	Fayette, Iowa												0	0	0	51	0	0000-00-00 00:00:00	1
303	William Penn	William Penn	Statesmen	williampenn	William Penn	William Penn	51	0	Oskaloosa, IA												0	0	0	61	0	0000-00-00 00:00:00	1
304	Southern Virginia	Southern Virginia	Knights	southernvirginia	Southern Virginia	Southern Virginia	51	0	Buena Vista, VA												0	0	0	61	0	0000-00-00 00:00:00	1
305	Azusa Pacific	Azusa Pacific	Cougars	azusapacific	Azusa Pacific	Azusa Pacific	51	0	Azusa, CA												0	0	0	61	0	0000-00-00 00:00:00	1
307	Concordia-Wisconsin	Concordia-Wisconsin	Hawks	concordia-wisconsin	Concordia-Wisconsin	Concordia-Wisconsin	110	0	Mequon, WI												0	0	0	62	0	0000-00-00 00:00:00	1
308	Marian	Marian	Knights	marian	Marian	Marian	51	0	Indianapolis, IN												0	0	0	61	0	0000-00-00 00:00:00	1
309	Cumberland	Cumberland	Bulldogs	cumberland	Cumberland	Cumberland	0	0	Lebanon, TN												0	0	0	61	0	0000-00-00 00:00:00	1
310	Mars Hill	Mars Hill	Lions	marshill	Mars Hill	Mars Hill	58	0	Asheville, NC												0	0	0	51	0	0000-00-00 00:00:00	1
311	West Georgia	West Georgia	Wolves	westgeorgia	westgeorgia	West Georgia	50	0	Carrollton, GA												0	0	0	51	0	0000-00-00 00:00:00	1
312	Faulkner	Faulkner	Eagles	faulkner	Faulkner	Faulkner	51	0	Montgomery, AL												0	0	0	61	0	0000-00-00 00:00:00	1
313	Shorter	Shorter	Hawks	shorter	Shorter	Shorter	51	0	Rome, GA												0	0	0	61	0	0000-00-00 00:00:00	1
314	Henderson State	Henderson State	Reddies	hendersonstate	Henderson State	Henderson State	50	0	Arkadelphia, AR												0	0	0	51	0	0000-00-00 00:00:00	1
316	Bowie State	Bowie State	Bulldogs	bowiestate	Bowie State	Bowie State	47	0	Bowie, MD 												0	0	0	51	0	0000-00-00 00:00:00	1
317	Texas A&M-Commerce	Texas A&M-Commerce	Lions	texasamcommerce	Texas A&M-Commerce	Texas A&M-Commerce	52	0	Commerce, Texas												0	0	0	51	0	0000-00-00 00:00:00	1
319	East Central	East Central	Tigers	eastcentral	East Central	East Central	52	0	Ada, OK												0	0	0	51	0	0000-00-00 00:00:00	1
320	Langston	Langston	Lions	langston	Langston	Langston	51	0	Langston, OK												0	0	0	61	0	0000-00-00 00:00:00	1
321	Kentucky Wesleyan	Kentucky Wesleyan	Panthers	kentuckywesleyan	Kentucky Wesleyan	Kentucky Wesleyan	87	0	Owensboro, KY												0	0	0	51	0	0000-00-00 00:00:00	1
322	Angelo State	Angelo State	Rams	angelostate	Angelo State	Angelo State	52	0	San Angelo, TX												0	0	0	51	0	0000-00-00 00:00:00	1
323	Tuskegee	Tuskegee	Golden Tigers	tuskegee	Tuskegee	Tuskegee	59	0	Tuskegee, AL												0	0	0	51	0	0000-00-00 00:00:00	1
324	Arkansas-Monticello	Arkansas-Monticello	Boll Weevils	arkansas-monticello	Arkansas-Monticello	Arkansas-Monticello	50	0	Monticello, AR												0	0	0	51	0	0000-00-00 00:00:00	1
325	Lincoln (MO)	Lincoln (MO)	Blue Tigers	lincolnmo	Lincoln (MO)	Lincoln (MO)	51	0	Jefferson City, MO												0	0	0	51	0	0000-00-00 00:00:00	1
327	Texas College	Texas College	Steers	texascollege	Texas College	Texas College	51	0	Tyler, TX												0	0	0	61	0	0000-00-00 00:00:00	1
328	Morehouse	Morehouse	Maroon Tigers	morehouse	Morehouse	Morehouse	59	0	Atlanta, GA												0	0	0	51	0	0000-00-00 00:00:00	1
329	Shaw	Shaw	Bears	shaw	Shaw	Shaw	47	0	Raleigh NC												0	0	0	51	0	0000-00-00 00:00:00	1
330	West Chester	West Chester	Golden Rams	westchester	West Chester	West Chester	56	0	West Chester, PA												0	0	0	51	0	0000-00-00 00:00:00	1
331	Montana-Western	Montana-Western	Bulldogs	montanawestern	Montana-Western	Montana-Western	51	0	Dillon, MT												0	0	0	61	0	0000-00-00 00:00:00	1
332	Dixie State	Dixie State	Red Storm	dixiestate	Dixie State	Dixie State	83	0	St George, UT 												0	0	0	51	0	0000-00-00 00:00:00	1
333	New Mexico Highlands	New Mexico Highlands	Cowboys	newmexicohighlands	New Mexico Highlands	New Mexico Highlands	57	0	Las Vegas, NM												0	0	0	51	0	0000-00-00 00:00:00	1
334	Humboldt State	Humboldt State	Lumberjacks	humboldtstate	Humboldt State	Humboldt State	88	0	Arcata, CA												0	0	0	51	0	0000-00-00 00:00:00	1
336	Western Oregon	Western Oregon	Wolves	westernoregon	Western Oregon	Western Oregon	49	0	Monmouth, OR												0	0	0	51	0	0000-00-00 00:00:00	1
337	Albion	Albion	Britons	albion	Albion	Albion	51	0	Albion, MI												0	0	0	62	0	0000-00-00 00:00:00	1
338	Franklin	Franklin	Grizzlies	franklin	Franklin	Franklin	51	0	Franklin, IN												0	0	0	62	0	0000-00-00 00:00:00	1
339	Hanover	Hanover	Panthers	hanover	Hanover	Hanover	51	0	Hanover, IN												0	0	0	62	0	0000-00-00 00:00:00	1
340	Tusculum	Tusculum	Pioneers	tusculum	Tusculum	Tusculum	58	0	Greenville, TN												0	0	0	51	0	0000-00-00 00:00:00	1
341	Glenville State	Glenville State	Pioneers	glenvillestate	Glenville St.	Glenville State	60	0	Fairmont, WV												0	0	0	51	0	0000-00-00 00:00:00	1
342	Virginia Union	Virginia Union	Panthers	virginiaunion	Virginia Union	Virginia Union	47	0	Richmond, VA												0	0	0	51	0	0000-00-00 00:00:00	1
