UNLV	UNLV	unlv	Rebels	mwc	
Utah State	Utah State	utahstate	Aggies	mwc		UtahSt
Wyoming	Wyoming	wyoming	Cowboys	mwc	
East Carolina	East Carolina	eastcarolina	Pirates	cusa	East
Florida Atlantic	Florida Atlantic	fau	Owls	cusa	East	FloridaAtl
Florida International	Florida International	fiu	Panthers	cusa	East	FloridaIntl
Louisiana Tech	Louisiana Tech	latech	Bulldogs	cusa	West
Marshall	Marshall	marshall	Thundering Herd	cusa	East
Middle Tennessee State	Middle Tennessee	middletennessee	Blue Raiders	cusa	East
North Texas	North Texas	northtexas	Mean Green	cusa	West
Rice	Rice	rice	Owls	cusa	West
Southern Mississippi	Southern Miss	southernmiss	cusa	East	SMississippi
Tulane	Tulane	tulane	Green Wave	cusa	West
Tulsa	Tulsa	tulsa	Golden Hurricane	cusa	West
Alabama-Birmingham	UAB	uab	Blazers	cusa	East	UAB
Texas-El Paso	UTEP	utep	Miners	cusa	West
UT-San Antonio	UT-San Antonio	utsa	Roadrunners	cusa	West	TexasSanAntonio
Arkansas State	Arkansas State	arkansasstate	Red Wolves	sunbelt	
Arkansas-Little Rock	Arkansas-Little Rock	arkansaslittlerock	Trojans	sunbelt	
Georgia State	Georgia State	georgiastate	Panthers	sunbelt	
Louisiana-Lafayette	UL-Lafayette	ullafayette	Ragin' Cajuns	sunbelt		ULLafayette
Louisiana-Monroe	UL-Monroe	ulmonroe	Warhawks	sunbelt		ULMonroe
South Alabama	South Alabama	southalabama	Jaguars	sunbelt	
Texas State	Texas State	texasstate	Bobcats	sunbelt		TexasSt
UT-Arlington	UT-Arlington	utarlington	Mavericks	sunbelt	
Troy	Troy	troy	Trojans	sunbelt	
Western Kentucky	Western Kentucky	westernkentucky	Hilltoppers	sunbelt		WKentucky
Notre Dame	Notre Dame	notredame	Fighting Irish	ind	
Army	Army	army	Black Knights	ind	
Navy	Navy	navy	Midshipmen	ind	
Brigham Young	BYU	byu	Cougars	ind		BYU
Idaho	Idaho	idaho	Vandals	ind	
New Mexico State	New Mexico State	newmexicostate	Aggies	ind		NewMexicoSt
Old Dominion	Old Dominion	olddominion	Monarchs	ind	
Presbyterian	Presbyterian	presbyterian	Blue Hose	bigsouth	
Elon	Elon	elon	Phoenix	socon	
North Carolina Central	NC Central	nccu	Eagles	meac	
South Carolina State	South Carolina State	scstate	Bulldogs	meac	
Florida A&M	Florida A&M	floridaam	Rattlers	meac	
Western Carolina	Western Carolina	westerncarolina	Catamounts	socon	
The Citadel	The Citadel	citadel	Bulldogs	socon	
Bethune-Cookman	Bethune-Cookman	bethunecookman	Wildcats	meac	
Alabama A&M	Alabama A&M	alabama_am	Bulldogs	swac	
Savannah State	Savannah State	savannahstate	Tigers	meac	
Richmond	Richmond	richmond	Spiders	caa	
Wagner	Wagner	wagner	Seahawks	northeast	
Virginia Military Institute	VMI	vmi	Keydets	socon	
Chattanooga	Chattanooga	chattanooga	Mocs	socon	
Georgia Southern	Georgia Southern	georgiasouthern	Eagles	socon	
Appalachian State	Appalachian State	appalachianstate	Mountaineers	socon	
Furman	Furman	furman	Palladins	socon	
Wofford	Wofford	wofford	Terriers	socon	
Southeast Missouri State	SE Missouri State	southeastmissouristate	Redhawks	ovc	
Alcorn State	Alcorn State	alcornstate	Braves	swac	
Murray State	Murray State	murraystate	Racers	ovc	
Tennessee Tech	Tennessee Tech	tennesseetech	Golden Eagles	ovc	
Coastal Carolina	Coastal Carolina	coastalcarolina	Chanticleers	bigsouth	
Austin Peay	Austin Peay	austinpeay	Governors	ovc	
Sam Houston State	Sam Houston State	samhoustonstate	Bearkats	southland	
Lamar	Lamar	lamar	Cardinals	southland	
Northern Iowa	Northern Iowa	northerniowa	Panthers	mvc	
South Dakota	South Dakota	southdakota	Coyotes	mvc	
North Dakota State	North Dakota State	northdakotastate	Bison	mvc	
Western Illinois	Western Illinois	westernillinois	Leathernecks	mvc	
Indiana State	Indiana State	indianastate	Sycamores	mvc	
Youngstown State	Youngstown State	youngstownstate	Penguins	mvc	
Southern Illinois	Southern Illinois	southernillinois	Salukis	mvc	
Missouri State	Missouri State	missouristate	Bears	mvc	
Southeastern Louisiana	Southeastern Louisiana	southeasternlouisiana	Lions	southland	
Stephen F. Austin	Stephen F. Austin	stephenfaustin	Jacks	southland	
William & Mary	William & Mary	williammary	Tribe	caa	
